student_id,first_name,age,gender,year_of_study,admission_year,home_region,commuter,has_scholarship,major,favorite_genre,sleep_hours,study_hours,exercise_min,social_media_min,coffee_cups,stress_level,monthly_spending,survey_date,gpa_term1,gpa_term2,gpa_term3,gpa_term4,gpa,passed_course
S00014,Mohamed,22,M,3,2023,Maadi/Zamalek,No,No,Computer Science,edm,6.7,34.1,153,159,7,4,5687,2026-01-15,,3.41,3.3,3.55,3.59,Yes
S00015,Ahmed,18,M,1,2025,New Cairo,No,No,Engineering,pop,8.0,138.3,34,199,4,5,3530,2026-02-24,,,,4.0,4.0,Yes
S00016,Mariam,19,F,2,2024,Other Greater Cairo,Yes,No,Psychology,pop,5.7,12.5,61,125,1,7,2500,2026-04-24,,,2.28,2.61,2.4,Yes
S00017,Khaled,18,M,1,2025,New Cairo,No,No,Mathematics,rock,7.5,39.1,41,161,7,6,2500,2026-04-29,,,,4.0,4.0,Yes
S00018,Omar,21,M,2,2024,Other Greater Cairo,Yes,Yes,Psychology,rock,9.4,13.1,191,84,2,3,4020,2025-10-13,,,2.17,1.93,2.14,Yes
S00019,Mariam,19,F,1,2025,Heliopolis,No,No,Business,hiphop,5.6,12.2,108,264,1,8,2500,2026-04-14,,,,2.12,2.25,Yes
S00020,Dana,21,F,4,2022,Heliopolis,Yes,No,Business,edm,8.1,22.1,95,96,3,5,8299,2026-03-18,2.95,2.84,2.95,3.16,2.97,Yes
S00021,Malak,20,F,2,2024,Maadi/Zamalek,Yes,No,Biology,edm,6.9,24.2,37,251,2,5,13864,2025-10-29,,,2.77,2.65,2.68,Yes
S00022,Jana,23,F,4,2022,6th of October/Sheikh Zayed,No,Yes,Computer Science,edm,5.8,19.1,4,95,3,8,7569,2026-05-12,3.0,2.81,3.03,3.55,3.37,Yes
S00023,Hanya,18,F,1,2025,Other Greater Cairo,Yes,No,Business,edm,8.1,18.2,319,249,1,6,2500,2026-02-10,,,,2.63,2.85,Yes
S00024,Yasmin,20,F,2,2024,6th of October/Sheikh Zayed,Yes,No,Engineering,rock,6.7,29.8,180,267,4,6,10114,2025-11-05,,,4.0,3.79,3.98,Yes
S00025,Malak,19,F,2,2024,New Cairo,No,No,Psychology,hiphop,7.5,17.7,190,24,2,4,3599,2026-03-02,,,2.9,2.96,2.81,Yes
S00026,Andre,22,M,3,2023,New Cairo,No,Yes,Engineering,edm,7.7,24.0,126,180,6,6,5469,2025-11-15,,3.25,3.35,2.51,3.12,Yes
S00027,Farida,22,F,4,2022,Maadi/Zamalek,Yes,No,Computer Science,hiphop,7.1,29.2,26,482,1,4,4446,2025-09-17,4.0,4.0,3.85,3.91,4.0,Yes
S00028,Mariam,20,F,1,2025,Maadi/Zamalek,Yes,Yes,Business,hiphop,7.7,15.4,214,284,1,6,8533,2026-02-25,,,,2.05,2.2,Yes
S00029,Mariam,22,F,3,2023,Heliopolis,Yes,No,Mathematics,hiphop,6.3,24.4,28,241,3,8,5122,2026-01-01,,3.29,3.47,3.24,3.37,Yes
S00030,Malak,18,F,1,2025,Heliopolis,Yes,No,Psychology,pop,6.2,13.1,204,124,0,6,3723,2026-02-24,,,,2.38,2.75,Yes
S00031,Farida,18,F,1,2025,6th of October/Sheikh Zayed,No,No,Engineering,pop,6.9,23.4,332,93,1,5,5823,2025-10-14,,,,3.43,3.57,Yes
S00032,Sarah,19,F,1,2025,6th of October/Sheikh Zayed,Yes,No,Biology,classical,8.9,23.0,127,190,2,5,6293,2026-01-15,,,,2.34,2.46,Yes
S00033,Maryam,20,F,3,2023,6th of October/Sheikh Zayed,Yes,No,Psychology,pop,7.5,19.2,112,119,3,6,9569,2025-09-29,,2.8,2.7,2.68,2.71,Yes
S00034,Hassan,22,M,4,2022,New Cairo,No,Yes,Psychology,pop,10.1,15.5,33,81,1,4,4712,2025-10-17,2.3,2.12,2.08,2.04,2.34,Yes
S00035,Hussein,20,M,2,2024,Heliopolis,No,No,Computer Science,hiphop,8.0,26.6,38,277,6,7,2500,2025-11-24,,,3.68,3.97,3.8,Yes
S00036,Khaled,20,M,2,2024,New Cairo,No,Yes,Biology,hiphop,7.6,30.7,69,291,2,6,5344,2025-09-28,,,3.77,3.52,3.71,Yes
S00037,Mariam,23,F,4,2022,Heliopolis,Yes,No,psychology,hiphop,5.3,13.5,118,33,1,6,8229,2025-09-28,2.22,1.81,2.28,2.33,2.33,Yes
S00038,Ali,19,M,2,2024,Heliopolis,Yes,No,Business,edm,8.6,15.8,118,41,0,3,4228,2025-10-03,,,2.9,3.09,2.98,Yes
S00039,Nourine,21,F,2,2024,6th of October/Sheikh Zayed,No,Yes,Mathematics,pop,8.4,31.0,177,29,3,5,2500,2026-02-26,,,3.28,3.3,3.24,Yes
S00040,Alia,21,F,3,2023,6th of October/Sheikh Zayed,Yes,No,Psychology,edm,10.3,13.9,230,150,2,5,2500,2025-11-12,,1.11,1.49,0.85,1.24,No
S00041,Yossef,23,M,4,2022,New Cairo,Yes,No,Biology,edm,8.4,24.4,57,342,1,8,10078,2026-04-10,3.36,3.38,3.01,3.1,2.94,Yes
S00042,Ibrahim,20,M,3,2023,Heliopolis,Yes,No,Computer Science,classical,5.7,36.2,148,355,5,6,8397,2025-10-13,,3.81,3.77,4.0,3.96,Yes
S00043,Malak,19,F,2,2024,Other Greater Cairo,Yes,No,Psychology,hiphop,8.3,26.1,74,111,0,6,4141,2026-04-27,,,3.89,3.68,3.68,Yes
S00044,Farida,20,F,3,2023,Maadi/Zamalek,Yes,No,Computer Science,jazz,7.7,26.3,179,209,2,6,7895,2025-11-16,,3.57,3.67,3.36,3.64,Yes
S00045,Lara,23,F,4,2022,New Cairo,No,No,Business,hiphop,5.1,20.2,67,203,1,7,3399,2025-11-22,2.6,2.69,2.96,2.81,2.79,Yes
S00046,Ali,21,M,4,2022,New Cairo,No,Yes,Engineering,pop,5.3,31.0,166,199,2,6,2917,2026-01-08,3.51,3.64,3.37,3.8,3.65,Yes
S00047,Malak,20,F,1,2025,Heliopolis,Yes,No,Engineering,classical,7.3,30.9,188,167,2,4,3102,2025-09-01,,,,3.9,4.0,Yes
S00048,Jana,20,F,2,2024,6th of October/Sheikh Zayed,Yes,Yes,Biology,pop,9.3,32.1,87,89,2,4,4885,2025-10-10,,,3.46,3.25,3.43,Yes
S00049,Habiba,20,F,3,2023,Maadi/Zamalek,Yes,No,Business,hiphop,8.8,28.8,93,147,3,6,3451,2025-09-19,,3.75,3.68,3.71,3.59,Yes
S00050,Salah,21,M,2,2024,Heliopolis,No,No,Computer Science,pop,8.4,30.2,243,264,1,6,3047,2025-09-30,,,4.0,4.0,4.0,Yes
S00051,Farida,20,F,3,2023,New Cairo,No,No,Engineering,jazz,8.3,30.0,92,211,5,5,3163,2025-09-07,,3.73,3.34,3.46,3.36,Yes
S00052,Youssef,21,M,3,2023,6th of October/Sheikh Zayed,Yes,Yes,Business,rock,7.6,19.3,145,91,9,5,2500,2025-10-29,,3.03,2.98,2.58,2.64,Yes
S00053,Habiba,20,F,1,2025,New Cairo,Yes,Yes,Business,rock,6.1,24.9,313,194,2,9,3397,2026-05-14,,,,3.25,3.33,Yes
S00054,Reem,18,F,1,2025,New Cairo,No,No,Business,hiphop,4.7,22.4,260,446,2,6,3260,2026-02-09,,,,1.1,1.11,No
S00055,Khaled,21,M,3,2023,6th of October/Sheikh Zayed,Yes,No,Psychology,classical,7.1,17.6,293,283,2,7,6524,2026-01-07,,2.82,2.76,2.67,2.53,Yes
S00056,Mariam,22,F,4,2022,Heliopolis,Yes,No,Psychology,rock,7.8,96.8,335,84,2,7,2868,2025-12-19,2.78,3.3,3.03,3.06,3.16,Yes
S00057,Yassin,22,M,4,2022,Other Greater Cairo,Yes,No,Engineering,rock,6.7,25.6,19,209,2,5,3826,2026-01-17,3.3,3.28,3.61,3.48,3.48,Yes
S00058,Reem,20,F,3,2023,6th of October/Sheikh Zayed,Yes,No,Computer Science,rock,5.5,34.0,88,39,7,4,3087,2025-09-03,,4.0,3.71,4.0,4.0,Yes
S00059,Mohamed,21,M,3,2023,6th of October/Sheikh Zayed,Yes,No,Mathematics,rock,4.1,30.3,175,89,3,7,15770,2026-02-08,,3.68,3.45,3.29,3.36,Yes
S00060,Maryam,21,F,4,2022,Maadi/Zamalek,Yes,Yes,Psychology,pop,5.2,26.5,145,39,1,5,2500,2025-09-25,3.26,3.05,3.4,3.39,3.26,Yes
S00061,Aya,23,F,4,2022,Heliopolis,Yes,No,Business,edm,8.0,19.3,79,461,2,5,2967,2025-11-15,2.49,2.29,2.8,3.03,2.91,Yes
S00062,Ahmed,22,M,3,2023,New Cairo,No,No,Business,pop,6.8,22.0,89,227,4,6,8565,2026-01-23,,3.05,3.2,3.4,3.23,Yes
S00063,Yassin,22,M,4,2022,New Cairo,No,No,Computer Science,hiphop,7.8,25.0,110,86,3,5,2922,2025-10-17,2.98,2.94,2.98,2.84,2.87,Yes
S00064,Jana,22,F,4,2022,6th of October/Sheikh Zayed,No,No,Biology,pop,8.2,29.8,275,183,0,7,7240,2025-12-08,3.06,3.07,3.06,2.97,3.25,Yes
S00065,Mariam,18,F,1,2025,Heliopolis,Yes,Yes,Biology,hiphop,6.5,18.5,38,80,4,7,2500,2026-03-19,,,,3.09,3.14,Yes
S00066,Hana,21,F,4,2022,Other Greater Cairo,Yes,No,Business,jazz,9.9,24.4,146,254,0,4,6366,2025-10-07,3.05,3.13,3.11,3.12,3.18,Yes
S00067,Salma,22,F,3,2023,Heliopolis,Yes,No,Computer Science,hiphop,6.4,24.9,287,257,2,6,10729,2025-10-31,,3.09,3.31,3.06,3.25,Yes
S00068,Farida,19,F,1,2025,6th of October/Sheikh Zayed,No,No,Computer Science,classical,7.3,34.4,99,110,4,6,3782,2026-04-04,,,,3.72,4.0,Yes
S00069,Malak,22,F,3,2023,New Cairo,No,No,Computer Science,pop,8.0,28.5,122,242,3,7,3285,2025-12-01,,3.42,3.13,3.46,3.72,Yes
S00070,Abdelrahman,21,M,2,2024,Heliopolis,No,Yes,Computer Science,pop,4.7,20.2,39,59,3,6,6443,2026-03-08,,,2.95,3.12,3.0,Yes
S00071,Mustafa,19,M,1,2025,New Cairo,No,No,Biology,pop,6.3,19.8,41,143,3,5,13859,2026-03-20,,,,2.18,2.23,Yes
S00072,Ghada,20,F,3,2023,Heliopolis,Yes,Yes,Mathematics,pop,7.2,33.9,14,166,0,7,4747,2026-04-06,,4.0,4.0,4.0,4.0,Yes
S00073,Alyaa,19,F,1,2025,Maadi/Zamalek,No,No,Psychology,jazz,6.6,30.7,52,274,2,6,4285,2025-10-23,,,,3.08,3.26,Yes
S00074,Yousef,22,M,3,2023,New Cairo,No,No,Engineering,pop,7.4,35.2,93,108,3,7,2500,2025-11-12,,3.73,3.58,4.0,4.0,Yes
S00075,Yahya,21,M,2,2024,6th of October/Sheikh Zayed,Yes,No,Engineering,edm,6.3,25.4,52,363,3,6,3855,2026-03-01,,,2.88,3.36,3.11,Yes
S00076,Mariam,20,F,1,2025,New Cairo,No,No,Computer Science,classical,6.5,26.4,191,315,3,8,2624,2025-12-27,,,,3.95,3.68,Yes
S00077,Mariam,18,F,1,2025,Other Greater Cairo,No,No,Engineering,hiphop,6.4,28.2,75,179,1,8,3479,2025-12-27,,,,3.56,3.49,Yes
S00078,Mira,19,F,2,2024,Other Greater Cairo,Yes,No,Mathematics,pop,9.6,26.8,143,42,3,6,9998,2026-04-17,,,3.67,3.32,3.41,Yes
S00079,Nour,21,F,4,2022,Other Greater Cairo,Yes,No,Psychology,rock,7.3,20.1,119,203,0,5,8571,2025-10-20,3.3,3.23,2.73,2.41,2.7,Yes
S00080,Ahmed,21,M,4,2022,Other Greater Cairo,No,No,Computer Science,edm,10.5,32.9,23,141,2,6,6378,2026-01-08,2.56,3.25,3.7,3.55,3.59,Yes
S00081,Salah,20,M,2,2024,6th of October/Sheikh Zayed,No,No,Business,edm,7.5,30.9,85,92,1,6,5606,2026-01-19,,,4.0,3.69,3.83,Yes
S00082,Omar,20,M,3,2023,New Cairo,No,No,Computer Science,edm,6.7,29.8,60,190,3,8,2500,2025-12-23,,4.0,3.98,4.0,4.0,Yes
S00083,Omar,21,M,3,2023,New Cairo,No,No,Mathematics,hiphop,10.3,27.6,324,104,2,8,2547,2026-04-08,,3.36,3.25,3.37,3.2,Yes
S00084,Omar,20,M,2,2024,New Cairo,No,Yes,Business,rock,6.1,21.3,15,104,3,9,4108,2025-12-21,,,3.0,3.01,3.12,Yes
S00085,Omar,21,M,3,2023,Heliopolis,Yes,Yes,Psychology,rock,7.1,12.4,210,115,1,6,3921,2026-01-17,,2.56,2.47,2.4,2.51,Yes
S00086,Hana,21,F,2,2024,Other Greater Cairo,Yes,No,Business,pop,6.2,26.2,96,197,1,6,15093,2025-09-17,,,3.89,3.94,3.9,Yes
S00087,Malak,19,F,2,2024,6th of October/Sheikh Zayed,Yes,No,Computer Science,hiphop,8.2,29.5,109,247,3,5,3922,2026-03-02,,,3.9,3.71,3.84,Yes
S00088,Tasneem,21,F,3,2023,Heliopolis,Yes,No,Computer Science,edm,4.8,24.9,4,267,3,7,3568,2026-02-25,,2.12,2.52,2.08,2.21,Yes
S00089,Sarah,20,F,2,2024,6th of October/Sheikh Zayed,No,No,Biology,rock,7.3,27.8,22,85,0,3,2815,2025-09-01,,,3.96,3.31,3.85,Yes
S00090,Sohila,21,F,4,2022,New Cairo,No,No,Biology,pop,7.2,15.7,47,412,2,6,7367,2025-09-06,3.25,3.41,3.03,2.76,2.85,Yes
S00091,Nourhan,20,F,3,2023,New Cairo,Yes,No,Biology,hiphop,7.3,15.7,109,249,2,6,4127,2026-01-05,,2.66,2.54,2.49,2.47,Yes
S00092,Abdelrahman,22,M,3,2023,6th of October/Sheikh Zayed,Yes,No,Biology,rock,8.9,30.2,128,139,4,5,9718,2026-04-27,,2.57,2.42,1.97,2.16,Yes
S00093,Daniel,23,M,4,2022,New Cairo,No,Yes,Psychology,classical,6.6,135.1,146,141,3,4,5872,2026-01-21,3.05,2.86,2.46,2.99,2.79,Yes
S00094,Danial,19,M,2,2024,Other Greater Cairo,Yes,No,Engineering,pop,7.6,26.6,74,136,4,7,6013,2025-12-10,,,3.61,3.85,3.56,Yes
S00095,Adam,20,M,1,2025,New Cairo,No,No,Mathematics,pop,4.8,34.5,239,305,3,6,4194,2025-10-24,,,,3.62,3.69,Yes
S00096,Sohila,20,F,3,2023,6th of October/Sheikh Zayed,No,Yes,Psychology,pop,6.7,25.6,63,136,0,6,4798,2026-02-17,,3.11,3.23,3.64,3.55,Yes
S00097,Malak,18,F,1,2025,Other Greater Cairo,No,No,Business,hiphop,6.5,17.8,281,35,4,7,5530,2026-01-11,,,,3.21,3.07,Yes
S00098,Salma,20,F,3,2023,Heliopolis,No,No,Mathematics,pop,6.5,24.2,122,302,0,7,4190,2026-04-25,,3.98,4.0,3.69,3.74,Yes
S00099,Ali,20,M,1,2025,6th of October/Sheikh Zayed,No,No,Psychology,edm,7.7,22.7,242,127,0,5,2871,2025-10-14,,,,3.66,3.59,Yes
S00100,Christine,18,F,1,2025,6th of October/Sheikh Zayed,Yes,No,Mathematics,pop,7.1,21.0,379,442,1,7,6161,2026-01-27,,,,3.09,2.9,Yes
S00101,Marwan,21,M,2,2024,6th of October/Sheikh Zayed,No,No,Engineering,pop,8.7,30.8,23,182,3,5,8526,2025-10-30,,,3.38,3.55,3.68,Yes
S00102,Mohamed,18,M,1,2025,Maadi/Zamalek,No,No,Psychology,classical,8.6,19.8,159,114,1,4,8532,2025-09-08,,,,3.12,3.01,Yes
S00103,Malak,21,F,4,2022,New Cairo,No,No,Computer Science,hiphop,6.0,27.1,80,44,2,6,14000,2026-03-16,3.36,3.38,3.47,3.38,3.44,Yes
S00104,Farida,22,F,4,2022,Heliopolis,Yes,No,Psychology,hiphop,5.8,21.9,95,187,2,6,14598,2026-01-10,2.82,3.02,2.99,3.08,3.02,Yes
S00105,Yasmin,22,F,4,2022,New Cairo,Yes,No,Psychology,pop,6.3,30.0,60,249,0,10,8439,2025-12-28,3.63,3.55,3.65,3.72,3.67,Yes
S00106,Salma,21,F,4,2022,New Cairo,Yes,Yes,Engineering,hiphop,6.5,26.8,180,219,4,6,12141,2025-11-10,3.39,3.02,3.36,3.62,3.54,Yes
S00107,Tasnim,20,F,3,2023,Other Greater Cairo,Yes,No,Computer Science,pop,7.1,30.4,115,158,2,4,6785,2025-11-03,,3.71,4.0,4.0,4.0,Yes
S00108,Mark,19,M,1,2025,Heliopolis,No,No,Mathematics,hiphop,9.8,33.6,102,100,2,7,2500,2026-05-11,,,,3.62,3.66,Yes
S00109,Abdallah,19,M,2,2024,Maadi/Zamalek,Yes,No,Business,hiphop,5.3,16.0,18,203,2,7,11001,2026-02-14,,,2.12,2.31,2.43,Yes
S00110,Yousef,18,M,1,2025,Maadi/Zamalek,No,No,Mathematics,edm,4.8,25.1,123,97,2,8,4873,2025-11-29,,,,3.51,3.38,Yes
S00111,Hamza,20,M,3,2023,New Cairo,No,No,Psychology,classical,9.8,23.0,165,29,2,5,3533,2025-11-08,,2.67,2.78,2.08,2.3,Yes
S00112,Abdelrahman,18,M,1,2025,New Cairo,No,No,Engineering,edm,4.4,15.8,7,66,4,9,2500,2025-12-18,,,,2.91,2.73,Yes
S00113,Abdallah,21,M,3,2023,Maadi/Zamalek,No,No,Mathematics,classical,7.5,32.8,78,54,2,6,6230,2025-12-27,,3.79,4.0,4.0,4.0,Yes
S00114,Ahmed,23,M,4,2022,New Cairo,No,Yes,Computer Science,pop,8.3,30.1,191,106,3,5,2500,2026-01-19,4.0,4.0,4.0,3.56,4.0,Yes
S00115,Aliaa,20,F,2,2024,6th of October/Sheikh Zayed,Yes,Yes,Mathematics,pop,7.2,10.9,83,184,4,5,2500,2026-02-08,,,2.66,2.84,2.63,Yes
S00116,Khaled,20,M,2,2024,New Cairo,No,No,Business,hiphop,3.9,25.9,48,259,3,6,4367,2025-09-24,,,3.02,2.91,3.01,Yes
S00117,Christine,19,F,1,2025,Heliopolis,No,Yes,Biology,pop,8.9,22.4,110,173,2,5,2500,2025-10-04,,,,2.63,2.85,Yes
S00118,Alia,21,F,2,2024,6th of October/Sheikh Zayed,Yes,No,Psychology,pop,5.8,15.4,194,182,1,5,8280,2026-02-16,,,2.61,2.81,2.71,Yes
S00119,Khaled,18,M,1,2025,Maadi/Zamalek,No,Yes,Psychology,hiphop,5.1,25.9,84,275,1,6,4068,2025-12-28,,,,2.8,2.92,Yes
S00120,Alia,21,F,2,2024,Maadi/Zamalek,Yes,No,Biology,pop,9.5,20.3,47,114,0,4,4836,2025-09-18,,,3.28,2.61,2.93,Yes
S00121,Ganna,21,F,2,2024,6th of October/Sheikh Zayed,Yes,No,Biology,classical,4.7,37.0,116,120,2,6,2642,2025-11-19,,,3.66,4.0,4.0,Yes
S00122,Salah,18,M,1,2025,Other Greater Cairo,No,No,Mathematics,rock,5.8,31.6,20,460,7,10,2500,2025-12-22,,,,2.84,2.97,Yes
S00123,Mohamed,20,M,3,2023,Maadi/Zamalek,No,No,Engineering,edm,9.3,34.2,125,600,5,5,4276,2026-03-26,,3.77,3.41,3.58,3.4,Yes
S00124,Lara,18,F,1,2025,New Cairo,No,No,Business,pop,5.9,25.7,138,53,1,5,5285,2025-09-14,,,,3.22,3.5,Yes
S00125,Mohamed,21,M,2,2024,Heliopolis,No,No,Biology,rock,5.8,36.5,68,111,2,4,5491,2025-10-14,,,3.88,3.84,3.86,Yes
S00126,Habiba,21,F,2,2024,Heliopolis,No,Yes,Engineering,pop,6.1,33.6,38,98,4,7,7479,2025-11-29,,,3.75,4.0,4.0,Yes
S00127,Dana,23,F,4,2022,Other Greater Cairo,Yes,No,Engineering,hiphop,6.8,29.6,168,59,3,5,2500,2025-10-15,4.0,4.0,3.76,3.96,4.0,Yes
S00128,Ahmed,20,M,2,2024,Other Greater Cairo,No,No,Engineering,hiphop,6.3,15.8,293,67,6,5,5533,2025-10-11,,,2.62,2.87,2.79,Yes
S00129,Hassan,19,M,2,2024,New Cairo,Yes,No,Computer Science,pop,,34.8,84,29,2,6,4256,2025-09-23,,,3.15,3.24,3.1,Yes
S00130,Malak,21,F,4,2022,New Cairo,No,No,Mathematics,pop,5.1,23.7,192,361,4,7,3178,2026-04-22,3.49,3.63,3.28,3.62,3.3,Yes
S00131,Hana,20,F,1,2025,Maadi/Zamalek,No,No,Biology,pop,9.0,21.9,104,37,0,5,2500,2026-04-01,,,,2.95,2.96,Yes
S00132,Ola,22,F,3,2023,New Cairo,No,No,Mathematics,pop,6.5,26.0,53,355,0,6,10570,2025-09-15,,3.88,3.98,3.64,3.76,Yes
S00133,Reem,22,F,3,2023,Maadi/Zamalek,No,No,Engineering,edm,7.8,26.4,56,199,2,6,7655,2026-04-20,,3.59,3.2,3.47,3.58,Yes
S00134,Dana,20,F,1,2025,Maadi/Zamalek,Yes,No,business,edm,4.7,26.1,340,94,8,6,4017,2026-04-25,,,,2.92,3.12,Yes
S00135,Malak,18,F,1,2025,6th of October/Sheikh Zayed,Yes,No,Computer Science,pop,10.6,33.5,237,203,4,4,3669,2026-01-10,,,,3.48,3.5,Yes
S00136,Mina,20,M,3,2023,New Cairo,No,No,Engineering,hiphop,6.3,18.4,99,116,1,7,14209,2026-04-19,,1.76,1.67,1.9,1.99,No
S00137,Sarah,20,F,1,2025,6th of October/Sheikh Zayed,Yes,No,Engineering,rock,8.3,39.8,71,102,3,7,4099,2026-04-20,,,,2.83,2.89,Yes
S00138,Ghada,20,F,3,2023,New Cairo,No,No,Computer Science,pop,7.4,13.7,94,121,5,6,4152,2025-10-02,,2.5,2.07,2.3,2.28,Yes
S00139,Maryam,21,F,3,2023,New Cairo,No,No,Mathematics,pop,5.0,13.9,64,262,3,4,6515,2026-03-30,,2.54,2.33,2.49,2.64,Yes
S00140,Ghada,21,F,2,2024,New Cairo,No,Yes,Mathematics,hiphop,5.9,27.6,39,177,6,5,5839,2025-10-11,,,3.15,2.91,3.03,Yes
S00141,Farida,21,F,4,2022,New Cairo,No,Yes,Engineering,rock,5.5,25.3,144,75,3,9,9729,2026-05-09,3.2,3.36,3.15,3.31,3.34,Yes
S00142,Mohammed,22,M,3,2023,Other Greater Cairo,Yes,No,Computer Science,edm,8.1,26.4,318,185,1,5,21498,2025-10-07,,3.77,4.0,4.0,3.89,Yes
S00143,Farida,18,F,1,2025,New Cairo,No,No,Business,rock,7.5,31.1,123,76,1,5,2569,2026-01-18,,,,4.0,4.0,Yes
S00144,Abdelrahman,21,M,3,2023,New Cairo,No,Yes,Business,hiphop,9.5,18.8,76,74,2,4,9066,2025-10-07,,2.75,2.81,2.58,2.63,Yes
S00145,Mohamed,21,M,3,2023,6th of October/Sheikh Zayed,No,No,Business,edm,4.2,13.3,109,319,1,5,3266,2025-09-15,,2.16,2.19,2.27,2.28,Yes
S00146,Reem,19,F,2,2024,Heliopolis,Yes,No,Mathematics,hiphop,,28.8,52,211,2,5,4346,2025-10-10,,,2.19,2.42,2.08,Yes
S00147,Rawan,23,F,4,2022,New Cairo,No,Yes,Psychology,jazz,7.0,17.9,110,63,2,8,5686,2025-12-03,2.93,2.74,3.11,2.76,2.94,Yes
S00148,Yasmin,21,F,4,2022,Maadi/Zamalek,Yes,No,Biology,hiphop,8.0,20.7,33,104,2,5,11652,2026-03-07,2.79,3.01,2.89,2.57,2.83,Yes
S00149,Mariam,22,F,3,2023,New Cairo,No,Yes,Computer Science,pop,7.9,19.0,8,158,4,3,3147,2025-10-10,,3.28,3.21,3.43,3.28,Yes
S00150,Youssef,23,M,4,2022,Heliopolis,Yes,Yes,Biology,jazz,7.0,25.4,85,220,0,5,6116,2026-01-23,2.86,2.6,3.0,3.14,3.31,Yes
S00151,Zayneb,22,F,4,2022,Heliopolis,Yes,No,Psychology,pop,7.4,26.2,74,98,4,6,3883,2026-04-29,2.49,3.19,2.83,3.27,3.18,Yes
S00152,Mohamed,20,M,1,2025,New Cairo,Yes,No,Engineering,pop,4.1,30.6,185,191,3,5,3492,2026-01-31,,,,3.59,3.68,Yes
S00153,Mira,21,F,2,2024,New Cairo,No,No,Computer Science,hiphop,7.0,35.9,208,90,5,6,5204,2026-01-12,,,3.85,4.0,4.0,Yes
S00154,Mary,21,F,3,2023,New Cairo,No,No,Biology,jazz,4.6,6.6,62,85,1,8,5106,2026-05-12,,1.85,2.05,2.05,1.93,No
S00155,Habiba,23,F,4,2022,Maadi/Zamalek,Yes,No,Engineering,jazz,7.1,27.3,78,113,3,7,4763,2026-05-06,3.64,3.54,3.47,3.07,3.18,Yes
S00156,Farida,21,F,3,2023,Other Greater Cairo,Yes,No,Psychology,rock,7.6,27.1,90,48,2,5,5053,2025-09-07,,3.3,3.11,3.13,3.12,Yes
S00157,Mostafa,19,M,1,2025,Heliopolis,Yes,Yes,Psychology,edm,7.1,23.7,101,217,0,6,2500,2025-10-11,,,,2.99,3.2,Yes
S00158,Abdulrahman,22,M,4,2022,New Cairo,No,No,Engineering,jazz,8.2,31.6,163,347,6,5,6042,2026-03-13,3.79,3.71,3.93,3.46,3.67,Yes
S00159,Aya,20,F,1,2025,6th of October/Sheikh Zayed,Yes,No,Engineering,edm,6.6,25.3,134,165,4,3,2500,2025-10-21,,,,3.36,3.05,Yes
